<dialogue><succubus># Succ-U-Bus

This character has 242 sentences.

Index | Sentence ID | Wave ID | Sentence
--- | --- | --- | ---
0 | 93 | 92 | All right?
1 | 121 | 120 | Ooh, sorry, I ate that.
2 | 133 | 132 | Do you know what? My breath really stinks it does.
3 | 79 | 78 | Chicken's best.
4 | 83 | 82 | Give me chicken. Don't put no muck on it this time.
5 | 99 | 98 | Getcha.
6 | 97 | 96 | Get out of it.
7 | 95 | 94 | Go on.
8 | 129 | 128 | I had a dream once. Ruined my kip it did.
9 | 135 | 134 | How should I know?
10 | 73 | 72 | Oooh that was lovely. Give me another.
11 | 75 | 74 | I want more of that. Do you hear me? More.
12 | 77 | 76 | Oooooh. Pwhooooar. That was nice.
13 | 87 | 86 | Well give me more.
14 | 89 | 88 | Well give me another one.
15 | 107 | 106 | Oh I need to have that fixed.
16 | 101 | 100 | Don't bother me.
17 | 91 | 90 | Well don't do it again. It was horrible.
18 | 141 | 140 | Don't ask me questions. I don't like questions.
19 | 143 | 142 | I'm just a Succ-U-Bus. Don't ask me things.
20 | 125 | 124 | I'm not very bright am I?
21 | 81 | 80 | I don't like nothing fancy.
22 | 113 | 112 | I'm not happy, you know, I'm not happy.
23 | 109 | 108 | Ooh I don't feel well.
24 | 111 | 110 | I feel rotten I do.
25 | 103 | 102 | I'm sleeping.
26 | 131 | 130 | You're a bit of a smartass aren't you. Nobody likes a smartass.
27 | 105 | 104 | Stop fiddling with me.
28 | 115 | 114 | I'm a Succ-U-Bus not a bleedin quizmaster.
29 | 119 | 118 | Well you think what you like see if I care.
30 | 127 | 126 | This work's too hard for me.
31 | 85 | 84 | What was that you just stuffed down my throat?
32 | 117 | 116 | What do you think I am?
33 | 137 | 136 | It went where you told it to go.
34 | 139 | 138 | All I do is swallow. I don't know about where.
35 | 145 | 144 | Could be anywhere mate.
36 | 147 | 146 | State of this ship could be lost forever.
37 | 149 | 148 | If you don't know where, no-one else does.
38 | 151 | 150 | Dear oh dear. So you're the best they could come up with eh? Cuh!
39 | 169 | 168 | Come on. Do something.
40 | 171 | 170 | Yes? I can't wait all day.
41 | 173 | 172 | Got something for me?
42 | 175 | 174 | Come on, Come on.
43 | 177 | 176 | Ere you are then.
44 | 179 | 178 | Well go on then. Take it out of the tray.
45 | 181 | 180 | Use yer pointy thing. That's what it's there for.
